품목ID,품목명,규격,단위,단가,과세구분,원본품목명
P0001,오레오 분쇄쿠키,250G,EA,2650,과세,오레오 분쇄쿠키 [250G]
P0002,프룻스타 딸기청,"1KG(12EA 주문 시, 박스배송)",EA,5200,과세,"프룻스타 딸기청 [1KG(12EA 주문 시, 박스배송)]"
P0003,빽쿡 냉동딸기,1KG,EA,5900,면세,빽쿡 냉동딸기 [1KG]
P0004,냉동 망고 1kg(솜),1KG,EA,5500,면세,냉동 망고 1kg(솜) [1KG]
P0005,냉동토마토,1KG,EA,5400,면세,냉동토마토 [1KG]
P0006,냉동 감귤,1kg,EA,5500,면세,냉동 감귤 [1kg]
P0007,빽쿡 냉동블루베리,1KG,EA,7900,면세,빽쿡 냉동블루베리 [1KG]
P0008,청키 초코칩쿠키,60G*10EA,팩,11600,과세,청키 초코칩쿠키 [60G*10EA]
P0009,명인이야기 식혜 농축액 1.2L,1.2L,EA,8400,과세,명인이야기 식혜 농축액 1.2L [1.2L]
P0010,쁘띠첼 미초 석류 900ml,900ML,EA,3500,과세,쁘띠첼 미초 석류 900ml [900ML]
P0011,당코팅 현미크런치,200G,EA,3800,과세,당코팅 현미크런치 [200G]
P0012,빽다방 말차파우더,1KG,EA,12000,과세,빽다방 말차파우더 [1KG]
P0013,빽다방 모카파우더,1KG,EA,14100,과세,빽다방 모카파우더 [1KG]
P0014,돌 파인애플 주스,1L,EA,2700,과세,돌 파인애플 주스 [1L]
P0015,아몬드브리즈 오리지널 950ML,950ML,EA,2250,과세,아몬드브리즈 오리지널 950ML [950ML]
P0016,빽다방 바닐라향파우더,1KG,EA,9200,과세,빽다방 바닐라향파우더 [1KG]
P0017,빽다방 요거트파우더,1KG,EA,10300,과세,빽다방 요거트파우더 [1KG]
P0018,립톤 아이스티 복숭아 920G,920G,EA,6850,과세,립톤 아이스티 복숭아 920G [920G]
P0019,슈가 카페시럽,1.5L,EA,3200,과세,슈가 카페시럽 [1.5L]
P0020,큰컵24온스투명컵,600EA,BOX,45000,과세,큰컵24온스투명컵 [600EA]
P0021,버블티 빨대,200EA,팩,3700,과세,버블티 빨대 [200EA]
P0022,컵캐리어(일반),150EA,BOX,16900,과세,컵캐리어(일반) [150EA]
P0023,빽다방 밀크티베이스 1KG,1KG,EA,5500,과세,빽다방 밀크티베이스 1KG [1KG]
P0024,빽다방 콜드브루 디카페인 커피원액 (콜롬비아 100%),300ML,EA,9900,과세,빽다방 콜드브루 디카페인 커피원액 (콜롬비아 100%) [300ML]
P0025,콩고물빙수떡,300G,EA,3600,과세,콩고물빙수떡 [300G]
P0026,냉동수박,250ML*20EA,BOX,26000,면세,냉동수박 [250ML*20EA]
P0027,타피오카펄,70G*20EA,BOX,15000,과세,타피오카펄 [70G*20EA]
P0028,소세지빵용샐러드,600G,EA,4350,과세,소세지빵용샐러드 [600G]
P0029,사라다샐러드(감자:중국산),550G,EA,4300,과세,사라다샐러드(감자:중국산) [550G]
P0030,프룻스타 제로 레드자몽베이스,1.2KG,EA,14200,과세,프룻스타 제로 레드자몽베이스 [1.2KG]
P0031,도블라 컬스 미니 다크 초콜릿,1.5KG,BOX,28400,과세,도블라 컬스 미니 다크 초콜릿 [1.5KG]
P0032,커피믹스(전용),2.16 KG*5PACK,BOX,42500,과세,커피믹스(전용) [2.16 KG*5PACK]
P0033,초코브라우니,500G,EA,6900,과세,초코브라우니 [500G]
P0034,핫도그빵,10EA*4봉지,BOX,15800,과세,핫도그빵 [10EA*4봉지]
P0035,빽그램 핫도그,195G*10EA,BOX,23500,과세,빽그램 핫도그 [195G*10EA]
P0036,빽다방 콜드브루 오리지널 커피원액 (에티오피아 100%),300ML,EA,8700,과세,빽다방 콜드브루 오리지널 커피원액 (에티오피아 100%) [300ML]
P0037,베지밀A,950ML,EA,1800,과세,베지밀A [950ML]
P0038,빽다방 청포도 플라워향 에이드,"1.5L(6EA 주문 시, 박스배송)",EA,18200,과세,"빽다방 청포도 플라워향 에이드 [1.5L(6EA 주문 시, 박스배송)]"
P0039,농축유청단백 코코아 파우더,500G,EA,18000,과세,농축유청단백 코코아 파우더 [500G]
P0040,빽다방 체리파우더,1KG,EA,5000,과세,빽다방 체리파우더 [1KG]
P0041,빽다방 옛날미숫가루,1KG,EA,6800,과세,빽다방 옛날미숫가루 [1KG]
P0042,빽다방 밀크파우더,1KG,EA,8200,과세,빽다방 밀크파우더 [1KG]
P0043,크리미단팥빵,120G*12EA,BOX,13560,과세,크리미단팥빵 [120G*12EA]
P0044,츄러스쫀득볼,900G,EA,10000,과세,츄러스쫀득볼 [900G]
P0045,에스프레소 원두,1KG,EA,16000,과세,에스프레소 원두
P0046,서울우유,1L,EA,2700,면세,우유 [1L]
P0047,매일 연유,1KG,EA,6200,과세,연유
P0048,바리스타즈 휘핑 생크림,1L,EA,7200,과세,바리스타즈 휘핑
P0049,빽다방 초콜릿 소스,2KG,EA,14000,과세,초콜릿소스
P0050,탄산수,350ML,EA,500,과세,탄산수
P0051,코카콜라,245ML,EA,800,과세,코카콜라
P0052,죠리퐁,150G,EA,1500,과세,죠리퐁
P0053,멜론시럽,1.5L,EA,11000,과세,메론시럽
P0054,우롱티백,1EA,EA,250,과세,우롱티백
P0055,복숭아베이스,1.5KG,EA,13500,과세,복숭아 베이스
P0056,레몬베이스,1.5KG,EA,12500,과세,레몬베이스
P0057,유자퓨레,1KG,EA,9500,과세,유자 퓨레
P0058,깔라만시베이스,1.5KG,EA,12000,과세,깔라만시 베이스
P0059,쌍화차파우더,1KG,EA,14500,과세,쌍화차파우더
P0060,나타드코코,1KG,EA,7800,과세,나타드 코코
P0061,바나나소스,1.5KG,EA,13500,과세,바나나소스
P0062,흑당시럽,1.5KG,EA,12500,과세,흑당시럽
P0063,원조커피 원액,1L,EA,9000,과세,원조원액
P0064,헤이즐넛 시럽,1.5L,EA,12000,과세,헤이즐넛시럽
P0065,사양벌꿀,2KG,EA,16000,과세,꿀
P0066,토스키 카라멜 소스,2KG,EA,14000,과세,카라멜소스
P0067,카라멜 드리즐,1KG,EA,8000,과세,카라멜드리즐
P0068,종이컵 (HOT),16oz,EA,50,과세,종이컵 (HOT)
P0069,핫컵 뚜껑 (HOT),16oz,EA,20,과세,핫컵 뚜껑 (HOT)
P0070,컵홀더 (HOT),16oz,EA,30,과세,컵홀더 (HOT)
P0071,아이스컵 (24oz),24oz,EA,80,과세,아이스컵 (24oz)
P0072,아이스컵 뚜껑 (24oz),24oz,EA,25,과세,아이스컵 뚜껑 (24oz)
P0073,컵홀더 (24oz),24oz,EA,30,과세,컵홀더 (24oz)
P0074,일반 빨대,Standard,EA,10,과세,일반 빨대
P0075,아이스컵 (32oz),32oz,EA,120,과세,아이스컵 (32oz)
P0076,아이스컵 뚜껑 (32oz),32oz,EA,35,과세,아이스컵 뚜껑 (32oz)
P0077,컵홀더 (32oz),32oz,EA,40,과세,컵홀더 (32oz)
P0078,맛카롱(딸기크런치),30G * 10 EA,BOX,13800,과세,맛카롱(딸기크런치) [30G * 10 EA]
P0079,리얼베이스 우베,1KG,EA,8400,과세,리얼베이스 우베 [1KG]
P0080,빽다방 보틀 텀블러 500ML,500ML,EA,6200,과세,빽다방 보틀 텀블러 500ML [500ML]
P0081,빽다방 보틀 텀블러 750ML,750ML,EA,6800,과세,빽다방 보틀 텀블러 750ML [750ML]
P0082,빽쿡 바나나소스,1KG,EA,9400,과세,빽쿡 바나나소스 [1KG]
P0083,사양벌꿀,1KG,EA,8900,면세,사양벌꿀 [1KG]
P0084,돌 망고 주스,1L,EA,3100,과세,돌 망고 주스 [1L]
P0085,서울우유 연유 500g,500G,EA,4400,면세,서울우유 연유 500g [500G]
P0086,빽다방 바나나파우더,1KG,EA,11700,과세,빽다방 바나나파우더 [1KG]
P0087,GLAD 프레스앤씰 매직랩 대용량,31M*30CM,EA,8900,과세,GLAD 프레스앤씰 매직랩 대용량 [31M*30CM]
P0088,빽다방 2구 비닐봉투,"(335*300)*1,000EA",BOX,70600,과세,"빽다방 2구 비닐봉투 [(335*300)*1,000EA]"
P0089,"보스턴핫(돼지고기: 외국산, 국내산, 쇠고기: 호주산)",300G*20EA,BOX,60000,과세,"보스턴핫(돼지고기: 외국산, 국내산, 쇠고기: 호주산) [300G*20EA]"
P0090,우롱차(사계춘차),7G*25T,팩,10500,과세,우롱차(사계춘차) [7G*25T]
P0091,더진한 유자애플,1.5KG,EA,15500,과세,더진한 유자애플 [1.5KG]
P0092,샌드위치케이스(바디)(185*80*30),100EA,BOX,18800,과세,샌드위치케이스(바디)(185*80*30) [100EA]
P0093,샌드위치케이스(뚜껑)(185*80*30),100EA,BOX,10800,과세,샌드위치케이스(뚜껑)(185*80*30) [100EA]
P0094,MEC3 스트라치아텔라 다크(초코쉘),"850G(6EA 주문 시, 박스배송)",EA,18800,과세,"MEC3 스트라치아텔라 다크(초코쉘) [850G(6EA 주문 시, 박스배송)]"
P0095,큰컵24온스돔뚜껑,"1,000EA",BOX,17000,과세,"큰컵24온스돔뚜껑 [1,000EA]"
P0096,크래프트 큐브 치즈케익,1KG,EA,21000,과세,크래프트 큐브 치즈케익 [1KG]
P0097,서울우유 펠렛치즈B 1kg,1KG,EA,9500,과세,서울우유 펠렛치즈B 1kg [1KG]
P0098,시그니처 블렌드 원두,1KG*6팩,BOX,129000,과세,시그니처 블렌드 원두 [1KG*6팩]
P0099,서울우유 생크림 500ml,500ML,EA,4000,과세,서울우유 생크림 500ml [500ML]
P0100,서울우유 바리스타밀크 1L,1L*16EA,BOX,30670,면세,서울우유 바리스타밀크 1L [1L*16EA]
P0101,레드불,250ML,EA,1500,과세,레드불
P0102,샤인머스캣 콤부차파우더,1KG,EA,12000,과세,샤인머스캣 콤부차파우더
P0103,초코 프로틴 파우더,1KG,EA,15000,과세,초코 프로틴 파우더
P0104,바나나 프로틴 파우더,1KG,EA,15000,과세,바나나 프로틴 파우더
P0105,매일 두유,950ML,EA,1300,면세,두유
P0106,빽다방 피스타치오 파우더,1KG,EA,14000,과세,피스타치오 파우더
P0107,코코넛파우더,1KG,EA,12000,과세,코코넛파우더
P0108,코코넛칩,1KG,EA,8000,과세,코코넛칩
P0109,자두샤베트파우더,1KG,EA,13000,과세,자두샤베트파우더
P0110,애플샤베트파우더,1KG,EA,13000,과세,애플샤베트파우더
P0111,제로 레몬베이스,1.2KG,EA,12500,과세,제로 레몬베이스
P0112,제로 자몽베이스,1.2KG,EA,14200,과세,제로 자몽베이스
P0113,제로 복숭아베이스,1.2KG,EA,13500,과세,제로 복숭아베이스
P0114,딸기 피치 루이보스티백,50EA,BOX,12000,과세,딸기 피치 루이보스티
P0115,동결건조 딸기 다이스,500G,EA,9800,과세,동결건조 딸기 다이스
P0116,율무차파우더,1KG,EA,11500,과세,율무차파우더
P0117,아몬드브리즈,950ML,EA,1600,면세,아몬드브리즈
P0118,생강차베이스,1KG,EA,12000,과세,생강차베이스
P0119,통단팥,3KG,EA,12000,과세,단팥
P0120,인절미떡,1KG,EA,7500,과세,인절미떡
P0121,블루베리 굿플잼,1KG,EA,11000,과세,블루베리 굿플잼
P0122,초코볼,1KG,EA,9500,과세,초코볼
P0123,초코볼 토핑용,500G,EA,5000,과세,코코볼
P0124,춘배 발바닥 사인판 초콜릿,50EA,BOX,18000,과세,발바닥 사인판
P0125,베버시티 망고베이스,1KG,EA,11000,과세,베버시티 망고베이스
P0126,민트초코파우더,1KG,EA,13000,과세,민트초코파우더
P0127,냉동 레몬슬라이스,1KG,EA,9800,과세,냉동 레몬슬라이스
P0128,냉동라임,1KG,EA,12000,과세,냉동라임
P0129,냉동 파인애플,1KG,EA,7200,면세,냉동파인애플
P0130,딸기베이스,1KG,EA,10500,과세,딸기베이스
P0131,딸기소스,1KG,EA,9000,과세,딸기소스
P0132,소프트아이스크림 믹스,10KG,EA,16000,과세,아이스크림
P0133,고메버터 소금빵,1EA,EA,1800,과세,고메버터 소금빵 [1EA]
P0134,크룽지,1EA,EA,1500,과세,크룽지 [1EA]
P0135,긴페스츄리와플,1EA,EA,1600,과세,긴페스츄리와플 [1EA]
P0136,쫀득 감자빵,1EA,EA,1500,과세,쫀득 감자빵 [1EA]
P0137,쫀득 고구마빵,1EA,EA,1500,과세,쫀득 고구마빵 [1EA]
P0138,크리미슈,1EA,EA,1000,과세,크리미슈 [1EA]
P0139,커스터드홀릭 바움쿠헨,1EA,EA,1800,과세,커스터드홀릭 바움쿠헨 [1EA]
P0140,초코홀릭 바움쿠헨,1EA,EA,1800,과세,초코홀릭 바움쿠헨 [1EA]
P0141,치즈홀릭 바움쿠헨,1EA,EA,1800,과세,치즈홀릭 바움쿠헨 [1EA]
P0142,마카롱(순우유),1EA,EA,1200,과세,마카롱(순우유) [1EA]
P0143,마카롱(초코크런치),1EA,EA,1200,과세,마카롱(초코크런치) [1EA]
